"uri","rdf_type","name","species_name","code","website","CodeGO2","CodeTRUEL-VASSAL","CodeVIVC","Mere","NumAgrementOfficiel","Pere","synonyms"
"http://sinfonia.vignevin.com/id/germplasm/variety.101_14_mgt","vocabulary:Variety","101-14 MGT","Vitis x interspécifique","9095","https://plantgrape.plantnet-project.org/fr/porte-greffe/101-14%20Millardet%20et%20de%20Grasset","9911","9095",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.101-14_mgt_cl1034","vocabulary:Accession","101-14 MGT Cl1034","Vitis x interspécifique","1034",NA,"991100471",NA,NA,NA,"1034",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.101-14_mgt_cl1043","vocabulary:Accession","101-14 MGT Cl1043","Vitis x interspécifique","1043",NA,"991100651",NA,NA,NA,"1043",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.101-14_mgt_cl759","vocabulary:Accession","101-14 MGT Cl759","Vitis x interspécifique","759",NA,"991100741",NA,NA,NA,"759",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.110_richter","vocabulary:Variety","110 RICHTER","Vitis x interspécifique","9159","https://plantgrape.plantnet-project.org/fr/porte-greffe/110%20Richter","9909","9159",NA,NA,NA,NA,"110R"
"http://sinfonia.vignevin.com/id/germplasm/accession.110_richter_cl140","vocabulary:Accession","110 RICHTER Cl140","Vitis x interspécifique","140",NA,"990900541",NA,NA,NA,"140",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.110_richter_cl756","vocabulary:Accession","110 RICHTER Cl756","Vitis x interspécifique","756",NA,"990900351",NA,NA,NA,"756",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.1103_paulsen","vocabulary:Variety","1103 PAULSEN","Vitis x interspécifique","9003","https://plantgrape.plantnet-project.org/fr/porte-greffe/1103%20Paulsen","9952","9003",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.1103_paulsen_cl1050","vocabulary:Accession","1103 PAULSEN Cl1050","Vitis x interspécifique","1050",NA,"995200171",NA,NA,NA,"1050",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.1103_paulsen_cl768","vocabulary:Accession","1103 PAULSEN Cl768","Vitis x interspécifique","768",NA,"995200331",NA,NA,NA,"768",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.125_aa","vocabulary:Variety","125 AA","Vitis x interspécifique","9191","https://plantgrape.plantnet-project.org/fr/porte-greffe/Kober%20125%20AA","9928","9191",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.125_aa_cl183","vocabulary:Accession","125 AA Cl183","Vitis x interspécifique","183",NA,"9928000710",NA,NA,NA,"183",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.125_aa_cl185","vocabulary:Accession","125 AA Cl185","Vitis x interspécifique","185",NA,"992800094",NA,NA,NA,"185",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.140_ruggeri","vocabulary:Variety","140 RUGGERI","Vitis x interspécifique","9001","https://plantgrape.plantnet-project.org/fr/porte-greffe/140%20Ruggeri","9950","9001",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.140_ruggeri_cl101","vocabulary:Accession","140 RUGGERI Cl101","Vitis x interspécifique","101",NA,"995000181",NA,NA,NA,"101",NA,NA
"http://sinfonia.vignevin.com/id/germplasm/variety.1448_paulsen","vocabulary:Variety","1448 PAULSEN","Vitis x interspécifique","9004",NA,"9953","9004",NA,NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/germplasm/accession.1448_paulsen_cl1307","vocabulary:Accession","1448 PAULSEN Cl1307","Vitis x interspécifique","1307",NA,"995300021",NA,NA,NA,"1307",NA,NA
