"uri"	"rdf_type"	"rdf_type_name"	"name"	"species"	"species_name"
"http://sinfonia.vignevin.com/id/germplasm/variety.101_14_mgt"	"vocabulary:Variety"	"Variété"	"101-14 MGT"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.101-14_mgt_cl1034"	"vocabulary:Accession"	"Accession"	"101-14 MGT Cl1034"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.101-14_mgt_cl1043"	"vocabulary:Accession"	"Accession"	"101-14 MGT Cl1043"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.101-14_mgt_cl759"	"vocabulary:Accession"	"Accession"	"101-14 MGT Cl759"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.110_richter"	"vocabulary:Variety"	"Variété"	"110 RICHTER"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.110_richter_cl140"	"vocabulary:Accession"	"Accession"	"110 RICHTER Cl140"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.110_richter_cl756"	"vocabulary:Accession"	"Accession"	"110 RICHTER Cl756"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.1103_paulsen"	"vocabulary:Variety"	"Variété"	"1103 PAULSEN"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.1103_paulsen_cl1050"	"vocabulary:Accession"	"Accession"	"1103 PAULSEN Cl1050"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.1103_paulsen_cl768"	"vocabulary:Accession"	"Accession"	"1103 PAULSEN Cl768"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.125_aa"	"vocabulary:Variety"	"Variété"	"125 AA"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.125_aa_cl183"	"vocabulary:Accession"	"Accession"	"125 AA Cl183"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.125_aa_cl185"	"vocabulary:Accession"	"Accession"	"125 AA Cl185"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.140_ruggeri"	"vocabulary:Variety"	"Variété"	"140 RUGGERI"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.140_ruggeri_cl101"	"vocabulary:Accession"	"Accession"	"140 RUGGERI Cl101"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.1448_paulsen"	"vocabulary:Variety"	"Variété"	"1448 PAULSEN"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.1448_paulsen_cl1307"	"vocabulary:Accession"	"Accession"	"1448 PAULSEN Cl1307"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.161_49_couderc"	"vocabulary:Variety"	"Variété"	"161-49 COUDERC"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.161-49_couderc_cl190"	"vocabulary:Accession"	"Accession"	"161-49 COUDERC Cl190"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.161-49_couderc_cl225"	"vocabulary:Accession"	"Accession"	"161-49 COUDERC Cl225"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3309_couderc"	"vocabulary:Variety"	"Variété"	"3309 COUDERC"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.3309_couderc_cl144"	"vocabulary:Accession"	"Accession"	"3309 COUDERC Cl144"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.3309_couderc_cl188"	"vocabulary:Accession"	"Accession"	"3309 COUDERC Cl188"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.3309_couderc_cl189"	"vocabulary:Accession"	"Accession"	"3309 COUDERC Cl189"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.333_em"	"vocabulary:Variety"	"Variété"	"333 EM"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
