uri,rdf_type,rdf_type_name,name,synonyms,code,production_year,description,species,species_name,variety,variety_name,accession,accession_name,institute,website,CodeTRUEL-VASSAL,CodeVIVC,CodeGO2,Pere,NumAgrementOfficiel,Mere
"http://sinfonia.vignevin.com/id/germplasm/accession.carignan_n_cl505",vocabulary:Accession,Accession,"CARIGNAN N Cl505",,505,,GO2-113501811,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.carignan_n","CARIGNAN N",,,,,,,113501811,,505,
"http://sinfonia.vignevin.com/id/germplasm/accession.carla_n_cl972",vocabulary:Accession,Accession,"CARLA N Cl972",,972,,GO2-74800011,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.carla_n","CARLA N",,,,,,,74800011,,972,
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p259_a04",vocabulary:Variety,Variété,3565-P259-A04,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,"CINSAUT N",,3421-F02-PL5
"http://sinfonia.vignevin.com/id/germplasm/variety.gamaret_noir_n",vocabulary:Variety,Variété,"GAMARET NOIR N",,2966,,GO2-4002,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/gamaret",2966,,4002,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.rsb1",vocabulary:Variety,Variété,RSB1,,9181,,GO2-9982,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,"https://plantgrape.plantnet-project.org/fr/porte-greffe/Ress%C3%A9guier%20S%C3%A9lection%20Birolleau%201",,,,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.clairette_b_cl209",vocabulary:Accession,Accession,"CLAIRETTE B Cl209",,209,,GO2-118102561,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.clairette_b","CLAIRETTE B",,,,,,,118102561,,209,
"http://sinfonia.vignevin.com/id/germplasm/accession.folle_blanche_b_cl281",vocabulary:Accession,Accession,"FOLLE BLANCHE B Cl281",,281,,GO2-120100631,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.folle_blanche_b","FOLLE BLANCHE B",,,,,,,120100631,,281,
"http://sinfonia.vignevin.com/id/germplasm/accession.velteliner_rouge_precoce_rs_cl962",vocabulary:Accession,Accession,"VELTELINER ROUGE PRECOCE RS Cl962",,962,,GO2-246500091,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.velteliner_rouge_precoce_rs","VELTELINER ROUGE PRECOCE RS",,,,,,,246500091,,962,
"http://sinfonia.vignevin.com/id/germplasm/accession.merlot_n_cl349",vocabulary:Accession,Accession,"MERLOT N Cl349",,349,,GO2-137301321,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.merlot_n","MERLOT N",,,,,,,137301321,,349,
"http://sinfonia.vignevin.com/id/germplasm/accession.ekigaina_n_cl981",vocabulary:Accession,Accession,"EKIGAINA N Cl981",,981,,GO2-214400011,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.ekigaina_n","EKIGAINA N",,,,,,,214400011,,981,
"http://sinfonia.vignevin.com/id/germplasm/accession.verdelho_b_cl6005",vocabulary:Accession,Accession,"VERDELHO B Cl6005",,6005,,GO2-246700101,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.verdelho_b","VERDELHO B",,,,,,,246700101,,6005,
"http://sinfonia.vignevin.com/id/germplasm/accession.cinsaut_n_cl254",vocabulary:Accession,Accession,"CINSAUT N Cl254",,254,,GO2-117109181,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.cinsaut_n","CINSAUT N",,,,,,,117109181,,254,
"http://sinfonia.vignevin.com/id/germplasm/accession.meunier_n_cl977",vocabulary:Accession,Accession,"MEUNIER N Cl977",,977,,GO2-139101151,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.meunier_n","MEUNIER N",,,,,,,139101151,,977,
"http://sinfonia.vignevin.com/id/germplasm/variety.muscat_d'alexandrie_b",vocabulary:Variety,Variété,"MUSCAT D'ALEXANDRIE B",,308,,GO2-731,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/Muscat%20d%27Alexandrie",308,,731,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.jaoumet_b",vocabulary:Variety,Variété,"JAOUMET B",,651,,GO2-715,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,,651,,715,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.camaralet_blanc_cl1023",vocabulary:Accession,Accession,"CAMARALET BLANC Cl1023",,1023,,GO2-208800051,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.camaralet_blanc","CAMARALET BLANC",,,,,,,208800051,,1023,
"http://sinfonia.vignevin.com/id/germplasm/accession.cualtacciu_cl1314",vocabulary:Accession,Accession,"CUALTACCIU Cl1314",,1314,,GO2-271800131,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.cualtacciu",CUALTACCIU,,,,,,,271800131,,1314,
"http://sinfonia.vignevin.com/id/germplasm/variety.alvarinho_b",vocabulary:Variety,Variété,"ALVARINHO B",,55,,GO2-3037,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/alvarinho",55,,3037,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.cinsaut_n_cl258",vocabulary:Accession,Accession,"CINSAUT N Cl258",,258,,GO2-117109221,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.cinsaut_n","CINSAUT N",,,,,,,117109221,,258,
"http://sinfonia.vignevin.com/id/germplasm/accession.counoise_n_cl725",vocabulary:Accession,Accession,"COUNOISE N Cl725",,725,,GO2-119300141,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.counoise_n","COUNOISE N",,,,,,,119300141,,725,
"http://sinfonia.vignevin.com/id/germplasm/variety.monbadon_b",vocabulary:Variety,Variété,"MONBADON B",,76,,GO2-2176,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/monbadon",76,,2176,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.saperavi_n",vocabulary:Variety,Variété,"SAPERAVI N",,1734,,GO2-3051,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/saperavi",1734,,3051,,,
