"uri","name","minValue","maxValue","lwrBound","uprBound"
"http://sinfonia.vignevin.com/id/variable/apex_iac","apex_IAC",0,100,0.2,NA
"http://sinfonia.vignevin.com/id/variable/baie_absorbance_bleue","baie_absorbance_bleue",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_absorbance_jaune","baie_absorbance_jaune",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_absorbance_rouge","baie_absorbance_rouge",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_ascorbique_mgl","baie_acide_ascorbique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_ascorbique_microm","baie_acide_ascorbique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_caftarique_mgl","baie_acide_caftarique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_caftarique_microm","baie_acide_caftarique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_cis-coutarique_mgl","baie_acide_cis-coutarique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_cis-coutarique_microm","baie_acide_cis-coutarique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_hydroxycinnamique","baie_acide_hydroxycinnamique",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_trans-coutarique_mgl","baie_acide_trans-coutarique_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_acide_trans-coutarique_microm","baie_acide_trans-coutarique_microM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_antho_mgleqmalvidine","baie_antho_mgLeqMalvidine",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_at","baie_AT_gH2SO4",0,NA,2.7,7
"http://sinfonia.vignevin.com/id/variable/baie_azote_alpha-amine_mgl","Baie_azote_alpha-amine_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_azote_ammoniacal_mgl","Baie_azote_ammoniacal_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_azote_assim_mgl","Baie_azote_assim_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_fructose_gkgbaie","baie_fructose_gkgBaie",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_fructose_gl","baie_fructose_gL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_fructose_mgbaie","Baie_fructose_mgBaie",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_fructose_mm","baie_fructose_mM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_glucose_gkgbaie","baie_glucose_gkgBaie",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_glucose_gl","baie_glucose_gL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_glucose_mgbaie","baie_glucose_mgBaie",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_glucose_mm","baie_glucose_mM",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_glutathion_mgl","baie_glutathion_mgL",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_indice_clarte","baie_indice_clarte",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_indice_jaune","baie_indice_jaune",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_indice_rouge","baie_indice_rouge",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_intensite_colorante","baie_intensite_colorante",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_ipt","baie_IPT",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_malique_gkgbaie","baie_malique_gkgBaie",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_malique_gl","baie_malique_gL",0,15,1,8
"http://sinfonia.vignevin.com/id/variable/baie_malique_mgbaie","baie_malique_mgBaie",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_malique_mm","baie_malique_mm",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_nuance","baie_nuance",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_ph","baie_pH",0,14,2.5,4
"http://sinfonia.vignevin.com/id/variable/baie_pi420","baie_Pi420",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_pi520","baie_Pi520",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_polyphenols","baie_polyphenols",0,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/baie_potassium_gl","Baie_potassium_gL",0,NA,0.5,2
"http://sinfonia.vignevin.com/id/variable/baie_potassium_mgl","Baie_potassium_mgL",0,NA,500,2000
"http://sinfonia.vignevin.com/id/variable/baie_shikimique_gkgbaie","baie_shikimique_gkgbaie",0,NA,NA,NA
