"var_OpenSilex","var_used"
"HARVEST_DATE","Vdg_Date"
"FERT_SHOOT_I","Fert_Ram1"
"FERT_SHOOT_II","Fert_Ram2"
"ALC_C","Vin_TAP"
"BUD_DATE","Deb_Date"
"VER_50","Ver_Date"
"FLO_50","Flo_Date"
"FLO_END","Flo_fin"
"FLO_START","Flo_debut"
"MI-BUD-relativ","Deb_RCh"
"MI-FLO-relativ","Flo_RCh"
"SCLUST_W_G","Gp_pds_g"
"SHOOT_DW","Ram_pds_MS"
"PRUN_FW_PLANT","Bois_pds_Cep"
"PULP_BTERP","Pulp_lieTerp"
"SKIN_BTERP","Pel_lieTerp"
"BERRY_TOTATERP","Pel_totAterp"
"BERRY_TOTCITRO","Pel_totCitro"
"BERRY_TOTGERAN","Pel_totGer"
"BERRY_TOTLIN","Pel_totLin"
"BERRY_TOTNER","Pel_totNerol"
"MUST_TOTTERP","Mout_totTerp"
"WINE_TOTTERP","Vin_totTerp"
"PULP_TOTTERP","Pulp_totTerp"
"SKIN_TOTTERP","Pel_totTerp"
"MUST_FTERP","Mout_libreTerp"
"WINE_FTERP","Vin_libreTerp"
"PULP_FTREP","Pulp_libreTerp"
"SKIN_FTERP","Pel_libreTerp"
"EXP_LA_M2","SFol_expose_m2"
"LEAF_A_M2","SFol_m2"
"BERRY_MAL_meq","Bai_mal_meq"
"MUST_MAL_meq","Mout_Mal_meq"
"WINE_MAL","vin_Mal"
"BERRY_TART_meq","Bai_tart_meq"
"MUST_TART_meq","Mout_Tart_meq"
"WINE_TART","Vin_Tart"
"BERRY_TA_meq","Bai_AT_meq"
"MUST_TA_meq","Mout_AT_meq"
"WINE_TA","Vin_AT"
"MUST_Y","Mout_Rdt"
"BLACKR_BER_PC","Bai_pct_BR"
"PM_BER_PC","Bai_pct_Mil"
"BOTRY_BER_PC","Bai_pct_Bot"
"NOBROT_BER_PC","Bai_pct_PN"
"UN_BER_PC","Bai_pct_Odm"
"COL_BER_PC","Bai_pct_coul"
"FRUITSET_%","Bai_pct_Nou"
"OPEN_FLO_PC","Fl_pct_ouvert"
"SOFT_BER_PC","Bai_pct_molle"
"PER_SBU","Bg_pct_Deb"
"PM_LEAF_PC","SFol_pct_Mil"
"UN_LEAF_PC","SFol_pct_Odm"
"DM_SPOR%DISK_DIVILOV","Fdisq_pct_spoMil_Div"
"DM_SPOR%DISK_PERESSOTTI","Fdisq_pct_spoMil_Per"
"WINE_RES_SUG","Vin_Suc_res"
"BERRY_SUG_g","Bai_Suc_g"
"MUST_SUG_g","Mout_Suc_g"
"SHOOT_DIAM","Ram_diam"
"SBER_VOL_mL","Bai_vol_ml"
"SBER_W_g","Bai_pds_g"
"SSEEDW_g","Pep_pds_g"
"TSS","Bai_IR"
"YIELD_PLANT","Vdg_pds_Cep"
"MORPHO_OIV_223","OIV223"
"DM_SCORE_VINEYARD","F_Mil_1-10"
"MORPHO_OIV_229","OIV229"
"MORPHO_OIV_226","OIV226"
"MORPHO_OIV_222","OIV222"
"MORPHO_OIV_016","Ram_nb_Vril"
"MORPHO_OIV_240","Bai_Ped"
"MORPHO_OIV_235","Pulp_ferm"
"MORPHO_OIV_241","OIV241"
"MORPHO_OIV_232","Pulp_succ_OIV"
"MORPHO_OIV_208","Gp_form"
"MORPHO_OIV_152","OIV_152"
"MORPHO_OIV_081-2","OIV081-2"
"MORPHO_OIV_080","OIV080"
"MORPHO_OIV_083-1","OIV083-1"
"MORPHO_OIV_007","OIV007"
"MORPHO_OIV_009","OIV009"
"MORPHO_OIV_008","OIV008"
"MORPHO_OIV_010","OIV010"
"MORPHO_OIV_101","OIV101"
"MORPHO_OIV_102","OIV102"
"MORPHO_OIV_002","OIV002"
"MORPHO_OIV_151","Fl_Sex"
"FERT_OIV_153","Inf_nb_Ram_OIV"
"MORPHO_OIV_015-1","OIV015-1"
"MORPHO_OIV_103","OIV103"
"MORPHO_OIV_051","OIV051"
"MORPHO_OIV_236","Bai_Saveur"
"MORPHO_OIV_209","Gp_nb_aile"
