"uri"	"rdf_type"	"rdf_type_name"	"name"	"synonyms"	"code"	"production_year"	"description"	"species"	"species_name"	"variety"	"variety_name"	"accession"	"accession_name"	"institute"	"website"	"Sexe"
"http://aims.fao.org/aos/agrovoc/c_1066"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"colza"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_11456"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"durum wheat"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_12332"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"maize"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_13199"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"Pearl millet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_14386"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"bread wheat"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_15476"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"teosintes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_29128"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"banana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_3339"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"upland cotton"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_3662"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"barley"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_4555"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"apple tree"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_5438"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"rice"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_6116"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"poplar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_7247"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"sorghum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://aims.fao.org/aos/agrovoc/c_8283"	"http://www.opensilex.org/vocabulary/oeso#Species"	"Species"	"grapevine"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/accession.1279s"	"http://www.opensilex.org/vocabulary/oeso#Accession"	"Accession"	"1279S"	NA	"HYB.50025.Col.1279S"	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/accession.1391s"	"http://www.opensilex.org/vocabulary/oeso#Accession"	"Accession"	"1391S"	NA	"HYB.50025.Col.1391S"	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/accession.50025_1437s"	"http://www.opensilex.org/vocabulary/oeso#Accession"	"Accession"	"50025_1437S"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	"vitis-explorer:id/germplasm/variety.50001_119_x_rac3"	"50001_119 x RAC3"	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0001e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0001E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	"mâle"
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0002e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0002E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0003e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0003E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0004e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0004E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0005e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0005E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0006e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0006E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0007e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0007E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
