name	type	description
Actiflore BO213	Saccharomyces	
Actiflore cerevisiae	Saccharomyces	
Actiflore F33	Saccharomyces	
Actiflore F5	Saccharomyces	
Actiflore RMS2	Saccharomyces	
Actiflore rosé	Saccharomyces	
Anchor Exotics Mosaïc	Saccharomyces	
Anchor Exotics Novello	Saccharomyces	
Anchor NT 202	Saccharomyces	
Anchor NT112	Saccharomyces	
Anchor NT116	Saccharomyces	
Anchor NT50	Saccharomyces	
Anchor Vin 2000	Saccharomyces	
Anchor Vin 7	Saccharomyces	
Anchor Vin13	Saccharomyces	
Anchor WE 372	Saccharomyces	
Cross Evolution	Saccharomyces	
Enoferm T306	Saccharomyces	
Enolevure K34	Saccharomyces	
Excellence B2	Saccharomyces	
Excellence CHD	Saccharomyces	
Excellence DS	Saccharomyces	
Excellence E2F	Saccharomyces	
Excellence FR	Saccharomyces	
Excellence FTH	Saccharomyces	
Excellence FW	Saccharomyces	
Excellence SP	Saccharomyces	
Excellence STR	Saccharomyces	
Excellence TXL	Saccharomyces	
Excellence XR	Saccharomyces	
Fermivin 3C	Saccharomyces	
Fermivin 4F9	Saccharomyces	
Fermivin 7013	Saccharomyces	
Fermivin A33	Saccharomyces	
Fermivin AR2	Saccharomyces	
Fermivin C88	Saccharomyces	
Fermivin Champion	Saccharomyces	
Fermivin E73	Saccharomyces	
Fermivin JB3	Saccharomyces	
Fermivin LS2	Saccharomyces	
Fermivin LVCB	Saccharomyces	
Fermivin MT48	Saccharomyces	
Fermivin PDM	Saccharomyces	
Fermivin PF6	Saccharomyces	
Fermivin SM 102	Saccharomyces	
Fermivin TS28	Saccharomyces	
Fermivin VB1	Saccharomyces	
Fermivin VR5	Saccharomyces	
Fermivin XL	Saccharomyces	
Fermivin®P21	Saccharomyces	
Fermol Arome Plus	Saccharomyces	
Fermol Candy	Saccharomyces	
Fermol Charmat	Saccharomyces	
Fermol CryOfruit	Saccharomyces	
Fermol Davis 522	Saccharomyces	
Fermol Exception	Saccharomyces	
Fermol Fleur	Saccharomyces	
Fermol IPER-R	Saccharomyces	
Fermol Lime	Saccharomyces	
Fermol PB2033	Saccharomyces	
Fermol PMD 53	Saccharomyces	
Fermol Premier Cru	Saccharomyces	
Fermol Red Bouquet	Saccharomyces	
Fermol Red Fruit	Saccharomyces	
Fermol Rouge	Saccharomyces	
Fermol Spirit	Saccharomyces	
Fermol Super 16	Saccharomyces	
Fermol Tropical	Saccharomyces	
Glutaferm One	Saccharomyces	
IOC 11-1002	Saccharomyces	
IOC 11-1002 K	Saccharomyces	
IOC 18-2007	Saccharomyces	
IOC B2000	Saccharomyces	
IOC B3000	Saccharomyces	
IOC BE FRESH	Saccharomyces	
IOC Be Fruits	Saccharomyces	
IOC BE THIOLS	Saccharomyces	
IOC BIO	Saccharomyces	
IOC BY	Saccharomyces	
IOC eXence	Saccharomyces	
IOC FIZZ	Saccharomyces	
IOC FIZZ+	Saccharomyces	
IOC Fresh Rose	Saccharomyces	
IOC Harmonie	Saccharomyces	
IOC Primrouge R 9001	Saccharomyces	
IOC R 9002	Saccharomyces	
IOC R 9008	Saccharomyces	
IOC Révélation Terroir	Saccharomyces	
IOC Révélation Thiols	Saccharomyces	
IOC RP 15	Saccharomyces	
IOC TwICE	Saccharomyces	
IOC VELLUTO EVOLUTION	Saccharomyces	
IONYS WF	Saccharomyces	
