"uri","name","alternative_name","description","datatype","URIgroup","group"
"http://vitis-explorer.inrae.fr/id/variable/batch_weight_balance_kilogramme","Batch_Weight_Balance_Kilogramme","Batch_Weight","","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"http://vitis-explorer.inrae.fr/id/variable/jours_de_gel","Jours de gel","Genotype_Nombre de jours de gel","","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"http://vitis-explorer.inrae.fr/id/variable/millesime","Millésime","Année","Millésime auquel se rapporte les données associées (par exemple, dans le cas de pesées de bois de taille réalisées en janvier, le millésime est l'année précédente)","http://www.w3.org/2001/XMLSchema#integer",NA,NA
"http://vitis-explorer.inrae.fr/id/variable/stade_bbch","StadesPhéno_BBCH","Phéno_BBCH","L'échelle phénologique BBCH vigne décrit les stades phénologiques ou stades de développement de la vigne pendant son cycle de vie, comme la floraison par exemple. La notation est du type :
- stade principal : BBCH 6 (stade principal 6, soit la floraison) 
- stade secondaire : BBCH 65 (50% des fleurs ouvertes) ","http://www.w3.org/2001/XMLSchema#string",NA,NA
"http://vitis-explorer.inrae.fr/Must_InitialWeight","Poids de raisin initial","Moût_PoidsInitial","","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:000293","MUST_TA_H2SO4","Must titratable acidity (eq g/l H2SO4)","Must titratable acidity (eq g/l H2SO4)","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000001","BUD_DATE","Budbreak date (50%)","Budbreak date (50%)","http://www.w3.org/2001/XMLSchema#date","http://vitis-explorer.inrae.fr/id/variablesGroup/agro","Agro"
"https://cropontology.org/term/CO_356:1000002","MI-BUD-relativ","Budbreak date (50%) relative to Chasselas","Budbreak date (50%) relative to Chasselas","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000004","MI-FLO-relativ","Flowering date (50%) relative to Chasselas","Flowering date (50%) relative to Chasselas","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000010","VER_50","Veraison date (50%)","Veraison date (50%)","http://www.w3.org/2001/XMLSchema#date",NA,NA
